SppName	BodyMass	LogBodyMass
Amazilia_beryllina	4.5	0.653212514
Amazilia_viridigaster	3.7	0.568201724
Amazilia_tobaci	4.7	0.672097858
Eupherusa_poliocerca	4.85	0.685741739
Eupherusa_eximia	4.3	0.633468456
Eupherusa_cyanophrys	4.8	0.681241237
Eupherusa_nigriventris	3.5	0.544068044
Elvira_chionura	3	0.477121255
Elvira_cupreiceps	3	0.477121255
Microchera_albocoronata	2.7	0.431363764
Chalybura_buffonii	6.765116279	0.830275266
Chalybura_urochrysia	6.430769231	0.808262925
Aphantochroa_cirrochloris	7.7	0.886490725
Lampornis_clemenciae	7.990839695	0.902592418
Lampornis_amethystinus	5.2	0.716003344
Lampornis_viridipallens	5.433647799	0.735091485
Lampornis_hemileucus	5.5	0.740362689
Lampornis_castaneoventris	5.6	0.748188027
Lampornis_calolaemus	5.288888889	0.723364443
Hylocharis_xantusii	3.4	0.531478917
Hylocharis_leucotis	3.502392344	0.544364795
Lamprolaima_rhami	7.8	0.892094603
Adelomyia_melanogenys	4.8515625	0.685881631
Phlogophilus_hemileucurus	2.8	0.447158031
Phlogophilus_harterti	2.7	0.431363764
Clytolaema_rubricauda	7.9	0.897627091
Heliodoxa_imperatrix	8.8	0.944482672
Heliodoxa_xanthogonys	7.12	0.852479994
Heliodoxa_gularis	6.3	0.799340549
Heliodoxa_branickii	5.2	0.716003344
Heliodoxa_schreibersii	8.811111111	0.945030678
Heliodoxa_aurescens	6.4	0.806179974
Heliodoxa_rubinoides	7.781818182	0.89108108
Heliodoxa_jacula	8.076923077	0.907245947
Heliodoxa_leadbeateri	7.4	0.86923172
Eugenes_fulgens	7.695151515	0.886217175
Hylonympha_macrocerca	7.25	0.860338007
Sternoclyta_cyanopectus	8	0.903089987
Oreotrochilus_chimborazo	8.2	0.913813852
Oreotrochilus_estella	8.1	0.908485019
Oreotrochilus_leucopleurus	8.15	0.911157609
Oreotrochilus_melanogaster	9.1	0.959041392
Oreotrochilus_adela	8.4	0.924279286
Urochroa_bougueri	11.4	1.056904851
Patagona_gigas	20.2	1.305351369
Aglaeactis_cupripennis	7.6	0.880813592
Aglaeactis_castelnaudii	6.7	0.826074803
Aglaeactis_aliciae	7.8	0.892094603
Aglaeactis_pamela	5.5	0.740362689
Lafresnaya_lafresnayi	5.3	0.72427587
Pterophanes_cyanopterus	9.3	0.968482949
Coeligena_coeligena	6.8	0.832508913
Coeligena_wilsoni	6.7	0.826074803
Coeligena_prunellei	6.8	0.832508913
Coeligena_torquata	7.126315789	0.852865063
Coeligena_phalerata	6.1	0.785329835
Coeligena_bonapartei	6.513761468	0.813831851
Coeligena_helianthea	6.603333333	0.819763221
Coeligena_lutetiae	7.272727273	0.861697302
Coeligena_violifer	7.494029851	0.874715419
Coeligena_iris	6.9	0.838849091
Coeligena_orina	7	0.84509804
